id,age,education,marital,gender,ethnic,industry,income
0,34.629,12,0,0,2,4,52533
1,48.403,16,1,1,1,0,29507
2,50.327,14,1,1,2,7,122156
3,45.059,11,1,1,1,2,53249
4,59.616,16,0,1,0,4,75917
5,38.149,16,1,1,0,4,81456
6,39.728,14,1,1,0,6,79712
7,40.735,14,0,1,1,3,52545
8,41.527,14,2,0,1,2,43000
9,44.089,16,1,0,1,3,70149
10,49.191,16,1,1,1,6,81328
11,49.933,16,3,0,0,1,30238
12,53.792,16,3,0,2,7,116711
13,51.252,18,1,1,2,2,42236
14,44.117,21,1,0,2,7,112518
15,41.415,16,2,0,1,3,38306
16,57.094,12,0,1,2,3,53730
17,54.776,18,1,1,0,1,31902
18,37.528,14,0,1,2,3,65531
19,43.026,16,0,1,2,2,39490
20,38.185,12,1,1,0,1,43079
21,59.764,16,0,0,2,2,53746
22,44.752,14,0,1,2,5,62651
23,32.271,16,3,1,0,6,79787
24,55.861,16,1,0,2,4,70602
25,50.098,12,1,1,2,2,42077
26,47.108,14,1,1,2,5,88573
27,46.441,14,1,1,2,7,97291
28,33.557,20,1,0,0,5,88694
29,39.921,16,0,1,0,3,59825
30,49.307,18,2,1,0,6,71658
31,55.276,12,1,1,2,1,31737
32,42.628,16,0,1,1,7,114757
33,38.186,16,0,1,0,0,32761
34,55.452,19,1,0,2,2,51240
35,44.911,17,0,0,0,1,36566
36,49.521,12,2,0,2,0,25063
37,31.25,14,0,1,0,0,29524
38,47.34,16,0,1,0,5,55727
39,33.08,16,0,1,1,5,57224
40,45.136,12,0,1,1,6,66065
41,47.347,13,0,0,1,6,89859
42,47.849,18,3,0,1,1,35313
43,44.347,16,0,1,2,4,67574
44,51.762,19,0,0,0,2,40387
45,43.595,16,1,1,1,2,48224
46,52.656,14,1,0,0,7,158204
47,40.797,16,1,0,2,7,156039
48,50.814,14,1,0,2,0,22275
49,42.964,18,1,0,2,6,67330
50,48.903,16,1,0,1,5,70844
51,39.789,18,0,1,1,0,23721
52,36.121,17,1,1,2,3,48820
53,50.708,12,1,0,1,0,21190
54,44.478,14,1,1,2,1,29243
55,38.518,14,0,0,2,3,61842
56,39.385,16,1,0,0,3,52711
57,34.026,12,0,1,2,5,76889
58,35.393,12,3,0,0,6,81109
59,32.339,16,1,1,2,0,28834
60,45.196,14,2,0,1,7,124669
61,33.502,14,2,1,1,3,48422
62,51.827,12,0,1,0,0,25186
63,41.996,17,1,1,1,6,116970
64,58.54,14,1,1,1,0,27218
65,58.279,16,1,0,2,3,53751
66,48.88,16,1,0,2,1,31644
67,57.013,14,1,1,2,0,25386
68,42.255,16,1,1,0,0,25621
69,37.279,17,0,1,0,6,105758
70,54.455,16,1,0,2,0,23731
71,32.07,16,1,1,0,0,31668
72,50.162,21,1,1,2,7,106141
73,55.253,16,1,1,2,0,36083
74,34.73,13,0,1,0,3,52236
75,32.786,16,1,1,1,3,54014
76,50.176,12,1,0,2,5,70945
77,57.099,16,1,1,1,0,27843
78,45.104,12,0,0,2,1,31718
79,31.386,12,0,0,0,0,25461
80,45.55,9,1,1,1,3,63663
81,58.772,12,2,0,2,2,55767
82,37.207,16,2,0,0,6,60908
83,40.837,13,1,0,2,4,61118
84,50.066,21,1,0,2,7,102450
85,50.781,14,2,0,2,0,34077
86,45.163,16,1,1,0,3,47409
87,40.186,21,2,1,1,1,28787
88,59.372,0,2,0,1,5,67425
89,58.378,16,1,1,0,1,40638
90,36.604,12,1,0,0,7,133384
91,42.064,16,0,0,2,3,50667
92,44.603,14,1,1,0,5,56137
93,33.859,12,0,1,1,0,27366
94,51.263,17,1,0,1,4,55189
95,36.388,9,2,0,0,6,125009
96,54.867,14,1,0,1,6,107394
97,55.043,16,0,0,1,1,33412
98,34.039,12,1,0,2,6,71946
99,48.122,16,1,1,0,4,75679
100,42.22,14,1,0,2,1,26290
101,43.219,16,3,0,1,0,30976
102,31.695,16,1,1,1,0,27537
